Year,Money_In_Circ,Money_Printed_billions,Prct_Chnge_Printed,CPI,Purch_Power
1937,6.474416666666667,0.3717499999999996,6.09159930085208,14.383333333333335,222.15643622977615
1936,6.102666666666668,0.518250000000001,9.28028889916883,13.866666666666667,227.22307188114482
1935,5.584416666666667,0.18216666666666725,3.3720517685532414,13.725000000000001,245.77320818348682
1934,5.4022499999999996,-0.17300000000000004,-3.1029998654768853,13.383333333333333,247.73628272170546
1933,5.57525,0.24716666666666587,4.638941457997703,12.933333333333332,231.97763926879213
1932,5.328083333333334,0.6582499999999998,14.095792141047149,13.641666666666666,256.0332827627195
1931,4.669833333333334,0.41133333333333333,9.659113146256516,15.20833333333333,325.6718655198257
1930,4.258500000000001,-0.2164166666666656,-4.836216689323802,16.7,392.15686274509795
1929,4.474916666666666,-0.020500000000001073,-0.45602002039116796,17.158333333333335,383.433583493175
1928,4.495416666666667,-0.10958333333333226,-2.3796597900832217,17.15833333333333,381.6850495875428
1927,4.6049999999999995,-0.03941666666666688,-0.8486892864191797,17.358333333333338,376.94534925805294
1926,4.644416666666666,0.06399999999999917,1.3972527972345938,17.7,381.1027577916136
1925,4.580416666666667,-0.011166666666666103,-0.24319860614528954,17.541666666666664,382.97098153370314
1924,4.591583333333333,0.05783333333333385,1.2756180498115999,17.124999999999996,372.96502658850426
1923,4.5337499999999995,0.2869166666666656,6.756014285153622,17.050000000000004,376.0683760683762
1922,4.246833333333334,-0.41749999999999954,-8.950904023440277,16.75,394.4115223107413
1921,4.664333333333333,-0.5260000000000007,-10.134223877721416,17.850000000000005,382.6913456728365
1920,5.190333333333334,0.4623333333333344,9.778623801466457,20.04166666666667,386.13448076552567
1919,4.728,0.3576666666666659,8.183967660742875,17.333333333333332,366.6102650874224
1918,4.370333333333334,0.5055333333333341,13.080452632305262,15.041666666666666,344.17664556479286
1917,3.8648,NULL,NULL,12.824999999999998,331.84123369902704
